No.,year_code,source_text,reference_text_1-XXLIN-reference,reference_text_2-web-error_annotation,text_to_be_evaluated,annotated_errors,GPT_evaluattion_results,num_of_errors_detected_by_GPT,num_of_correct_GPT_detections,precision,recall
1,2021上-1,2020年11月中国开始了第七次人口普查。人口普查将为开启全面建设社会主义现代化国家新征程提供科学准确的统计信息支持。开展第七次全国人口普查，是推动经济高质量发展的内在要求。当前，我国经济正处于转变发展方式、优化经济结构、转换增长动力的攻关期。,"China carried out its Seventh National Population Census in November, 2020. The census will provide scientific and accurate statistical information support for China to embark on a new journey toward building a modern socialist country. The census reflects the internal need for the advancement of quality economic development. At present, China’s economy is in the critical period of transforming the development mode, optimizing the economic structure, and transforming the growth momentum.","China carried out its Seventh National Population Census in November, 2020. The census will provide scientific and accurate <漏译> information support for China to embark on a new journey toward building a modern socialist country. The census reflects the internal urgent<过译>need for the advancement of quality economic development.  At the present critical period, China is transforming<误译> the development mode, optimizing the economic structure, and transforming the growth momentum.","<漏译>：statistical
<过译>：增加urgent
<误译>：含义与原文不一致。原文指“处于...阶段”，引入的错误为“正在...”",3,"{
  ""type"": ""Fidelity"",
  ""grade"": ""Good"",
  ""mark"": 8,
  ""mistakes"": [
    {
      ""mistranslations"": ""The phrase 'At the present critical period' in the text to evaluate simplifies the original text's meaning. The original text specifies that China's economy is at a critical stage of 'transforming the development mode, optimizing the economic structure, and shifting growth drivers', which is more detailed than simply a 'critical period'.""
    },
    {
      ""omissions"": ""The original text mentions that the census is an 'inherent requirement for promoting high-quality economic development', which is more specific than the evaluated text's 'reflects the internal urgent need for the push of quality economic development'. The original text's emphasis on 'inherent requirement' and 'promoting' is lost in the translation.""
    }
  ]
}",2,0.0,0.0,0.0
2,2021上-2,及时查清人口数量、结构和分布这一基本国情，摸清人力资源结构信息，才能够更加准确地把握需求结构、城乡结构、区域结构、产业结构等状况，为推动经济高质量发展，建设现代化经济体系提供有力的支持。,"Only by gaining timely access to such fundamentals of the country as population size, structure and distribution and deep insights into the demographic structure information, can China have a clearer picture of its demand, urban and rural, regional, and industrial structures, etc., thus offering strong support for the high-quality economic development and the modernization of the economic system.","Only by gaining timely access to such conditions<误译/欠译> of the country as population size, structure and distribution and deep insights into the demographic structure information, can China have a clearer picture of its demand, urban and rural, <漏译> and industrial structures, etc., thus offering strong support for the high-quality <漏译> development and the modernization of the economic system.","<误译/欠译>：conditions表示基本国情
<漏译>：regional
<漏译>：economic",3,"{
    ""type"": ""Fidelity"",
    ""grade"": ""Excellent"",
    ""mark"": 10,
    ""mistakes"": []
}",0,0.0,0.0,0.0
3,2021上-3,人口普查是完善人口发展战略和政策体系，促进人口长期均衡发展的迫切需要。自2010年第六次全国人口普查以来，我国人口发展的内在动力和外部条件发生了显著改变。人口总规模增长减缓，劳动年龄人口波动下降，老龄化程度不断加深。,"The census is also an urgent requirement to improve population development strategy and policy system, and to maintain a long-term balanced growth of population. Since the sixth national census, China has witnessed marked changes in the internal drivers and external conditions for population development, with slower population growth, declining in fluctuation of work-age population and deepening aging society. ","The census can improve population development strategies and policy systems, promoting long-term balanced population growth.<误译> Since the sixth national census<漏译>, China has witnessed radical<过译/误译> changes in the internal drivers and external conditions for population development, with slower population growth, declining in fluctuation of work-age population and deepening aging society.","<误译>：曲解原文人工普查可以促进人口发展
<漏译>：漏译年份2010年
<过译/误译>：radical（根本性变化）",3,"{
  ""type"": ""Fidelity"",
  ""grade"": ""Inadequate"",
  ""mark"": 4,
  ""mistakes"": [
    {
      ""omissions"": ""The original text specifies 'since the 2010 sixth national census', but the text to be evaluated omits '2010'.""
    },
    {
      ""mistranslations"": ""The phrase 'radical changes' in the text to be evaluated is a mistranslation of the original text's '显著改变', which should be translated as 'significant changes'.""
    },
    {
      ""overtranslation"": ""'radical' in 'radical changes' is an overtranslation of '显著'.""
    },
    {
      ""mistranslations"": ""The phrase 'deepening aging society' in the text to be evaluated is a mistranslation. The original text '老龄化程度不断加深' should be translated as 'the degree of aging continuously deepens' or similar, focusing on the degree of aging rather than describing the society as 'aging'.""
    },
    {
      ""omissions"": ""The text to be evaluated omits the urgent need for a census to promote long-term balanced development of the population, as stated in the original text '人口普查是完善人口发展战略和政策体系，促进人口长期均衡发展的迫切需要'.""
    }
  ]
}",5,2.5,0.5,0.8333333333333334
4,2021上-4,全面查清我国人口数量、结构、分布、城乡住房等方面的最新情况，了解人口增长、劳动力供给、流动人口变化情况，摸清老年人口规模，为制定和完善未来收入、消费、教育、就业、养老、医疗、社会保障等政策措施提供基础，也为教育和医疗机构布局、儿童和老人服务设施建设、工商业服务网点分布、城乡道路建设等提供依据。,"In this context, it is necessary to upgrade the latest data about population size, structure, distribution and housing in the urban and rural areas, to learn about changes in population growth, labor supply and migrant population, as well as the size of elderly population. These information will lay a solid foundation for designing and further improving policy measures of income, consumption, education, employment, elderly service, medical care and social security. It will also guide the establishment of educational and medical institutions, the construction of facilities for children and aged population, the distribution of business service outlets and the planning of urban and rural road construction.","In this context, it is necessary to upgrade the latest data about population size,<漏译> distribution and housing in the urban and rural areas, to learn about changes in population growth, labor supply and migrant population, as well as the size of elderly population. These information will lay a solid<过译> foundation for designing and further improving policy measures of income, consumption, <漏译> employment, elderly service, medical care and social security. It will also guide the establishment of educational and medical institutions, the construction of facilities for children and aged population, the distribution of business service outlets and the planning of urban and rural road construction.","<漏译>：structure
<过译>：solid
<漏译>：education",3,"{
    ""type"": ""Fidelity"",
    ""grade"": ""Good"",
    ""mark"": 8,
    ""mistakes"": [
      {
        ""omissions"": ""The original text mentions 'structure' in the context of population, which is omitted in the text to evaluate.""
      },
      {
        ""mistranslations"": ""The phrase '为制定和完善未来收入、消费、教育、就业、养老、医疗、社会保障等政策措施提供基础' is translated as 'These information will lay a solid foundation for designing and further improving policy measures of income, consumption, employment, elderly service, medical care and social security', which simplifies '教育' to 'elderly service' instead of 'education'.""
      }
    ]
}",2,2.0,1.0,0.6666666666666666
5,2021上-5,人口普查工作从方案制定、物资准备、试点、人员培训、入户登记到数据处理等一切工作都离不开人，队伍建设非常重要。能否组织好人口普查队伍，能否做好普查人员的选调，直接影响到普查的工作质量和数据质量。,"The efforts of census workers are indispensable in the process of national census, from plan-making, material preparation, piloting, personnel training, door-to-door registration to data processing and thus it is critical to build a good census team. Both the organization of the team and the recruitment of census workers directly impact the quality of census and data.","The efforts of census workers are important<欠译/误译> in the process of national census, from plan-making, material preparation, piloting, personnel training, <漏译>registration to data processing and thus it is critical to build a good census team. Both the organization of the team and the recruitment of census workers <欠译/漏译>impact the quality of census and data.","<欠译/漏译>：indispensable
<漏译>：door-to-door
<欠译/漏译>：directly ",3,"{
    ""type"": ""Fidelity"",
    ""grade"": ""Good"",
    ""mark"": 8,
    ""mistakes"": [
      {""omissions"": ""The original text specifies 'entering households for registration' as a step in the census process, which is not explicitly mentioned in the text to evaluate.""},
      {""mistranslations"": ""The phrase 'the efforts of census workers are important' in the text to evaluate simplifies the original text's emphasis on 'all work cannot be separated from people, and team building is very important.'""}
    ]
}",2,2.0,1.0,0.6666666666666666
6,2021下-1,中国迄今已向全球160多个国家和国际组织提供了抗疫物资援助，正在以不同方式向100多个国家和国际组织提供急需的疫苗，为全球疫情防控提供了强大助力。,"We have donated supplies to over 160 countries and international organizations and are providing, by various means, vaccines to over 100 countries and international organizations in urgent need, thus giving a strong boost to the global COVID response. ","We have donated supplies to over 160 countries<漏译> and are providing, by various means, vaccines to over 100 countries<漏译> in <漏译/欠译>need, thus giving a strong boost to the global COVID response. ","<漏译>: and international organizations
<漏译>: and international organizations 
<漏译/欠译>：urgent ",3,"{
    ""type"": ""Fidelity"",
    ""grade"": ""Excellent"",
    ""mark"": 10,
    ""mistakes"": []
}",0,0.0,0.0,0.0
7,2021下-2,接下来，中国将继续充分发挥自身优势，维护全球抗疫物资供应链稳定，将继续积极开展人道主义援助，向有需要的国家提供支持，将继续坚定秉持疫苗公共产品的“第一属性”，让更多发展中国家用得起、用得上安全可靠的疫苗。,China will continue to fully harness its strengths to keep the global supply chains for COVID supplies stable; China will continue to provide humanitarian assistance and support countries in need; and China will stay committed to making COVID vaccines a public good above anything else so that safe and effective vaccines can be affordable and accessible to more developing countries.,China will continue to <漏译/欠译>harness its strengths to keep the global supply chains for COVID supplies stable; China will continue to provide humanitarian assistance for countries in need<漏译>; and China will stay committed to making COVID vaccines a public good above anything else so that safe and effective vaccines can be affordable and accessible to more <漏译>countries.,"<漏译/欠译>：fully
<漏译>：和前一句合在一起，省略了支持
<漏译>：developing",3,"{
    ""type"": ""Fidelity"",
    ""grade"": ""Excellent"",
    ""mark"": 10,
    ""mistakes"": []
}",0,0.0,0.0,0.0
8,2021下-3,我们将坚持开放合作，与各国携手推动世界经济复苏。世界充满不确定，而中国的未来是确定的，我们已顺利开启“十四五”规划，迈向2035年远景目标，加快建设更高水平开放型经济新体制。,"We will uphold openness and cooperation as we work with other countries to promote world economic recovery. We have made a good start in implementing the 14th Five-Year Plan, and are
 developing new systems for a higher-standard open economy at a faster pace. ","We will uphold openness and cooperation as we work with other countries to promote world economic recovery. <漏译>We have made a good start in implementing the 14th Five-Year Plan, <漏译/欠译>and are developing new systems for a high-standard<误译> open economy at a faster pace.","<漏译>：世界充满不确定，而中国的未来是确定的
<漏译/欠译>：迈向2035年远景目标
<误译>：higher-standard",3,"{
    ""type"": ""Fidelity"",
    ""grade"": ""Good"",
    ""mark"": 8,
    ""mistakes"": [
      {""omissions"": ""The original text mentions '世界充满不确定，而中国的未来是确定的', which highlights the contrast between the uncertainty of the world and the certainty of China's future, but this contrast is not mentioned in the text to evaluate.""},
      {""omissions"": ""The phrase '迈向2035年远景目标' referring to the long-term goals for 2035 is omitted in the text to evaluate.""}
    ]
}",2,2.0,1.0,0.6666666666666666
9,2021下-4,一个全面迈向高质量发展的中国，将更充分发掘自身超大市场潜力，为各国带来新的发展机遇。而一个持续扩大对外开放的中国，将进一步深化与各国互利合作，为世界经济复苏注入更多动力。,"As a country pursuing high-quality development, China will further unleash the potential of its huge market to bring new development opportunities to all countries. As a country in the process of further opening up, China will deepen mutually beneficial cooperation with other countries to inject more impetus to world economic recovery.","As a country pursuing high-quality development, China will <欠译/漏译>unleash the potential of its huge market to bring new development opportunities to all countries. As a country in the process of <欠译/漏译>opening up, China will deepen mutually beneficial cooperation with other countries to inject more impetus to world economic<漏译>.","<欠译/漏译>：further
<欠译/漏译>：further
<漏译>：recovery",3,"{
  ""type"": ""Fidelity"",
  ""grade"": ""Good"",
  ""mark"": 8,
  ""mistakes"": [
    {
      ""omissions"": ""The phrase '全面迈向高质量发展的中国' is translated as 'a country pursuing high-quality development', which omits the nuance of '全面', indicating a comprehensive or all-around approach.""
    },
    {
      ""omissions"": ""The original text mentions '将更充分发掘自身超大市场潜力', which has been simplified in the translation to 'unleash the potential of its huge market'. The nuance of '更充分' indicating 'more fully' is omitted.""
    },
    {
      ""omissions"": ""The phrase '持续扩大对外开放的中国' is translated as 'a country in the process of opening up', which omits the nuance of '持续扩大', indicating a continuous expansion.""
    },
    {
      ""omissions"": ""The original text's '为世界经济复苏注入更多动力' is translated as 'to inject more impetus to world economic', omitting '复苏', which means 'recovery'. This changes the meaning slightly by not specifying that the impetus is for the recovery of the world economy.""
    }
  ]
}",4,3.0,0.75,1.0
10,2021下-5,中国，将继续高举人类命运共同体旗帜，坚持共商共建共享原则，积极践行真正的多边主义，捍卫以《联合国宪章》为基础的国际秩序，持续完善全球治理体系，建设人类卫生健康共同体，与各国一道维护世界和平稳定，弥合人类发展鸿沟，共同开创更加美好的未来。,"China will stay committed to the vision of building a community with a shared future for mankind, follow the principles of extensive consultation, joint contribution and shared benefits, uphold true multilateralism, and safeguard the international order based on the UN Charter. China will continue to improve the global governance system and build a global community of health for all. China will work with other countries to maintain world peace and stability, bridge the development gap, and create a brighter future for all.","China will stay committed to the vision of building a community with a shared future for mankind, follow the principles of extensive consultation, joint contribution and shared benefits, <漏译> and safeguard the international order based on the UN Charter. China will continue to maintain<误译> the global governance system and build a global community of health for all. China will work with other countries to maintain world peace and stability, totally<增译/过译> bridge the development gap, and create a brighter future for all.","<漏译>：uphold true multilateralism,
<增译/过译>：totally
<误译>：improve",3,"{
    ""type"": ""Fidelity"",
    ""grade"": ""Excellent"",
    ""mark"": 10,
    ""mistakes"": []
}",0,0.0,0.0,0.0
