1. 错误类型,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,2. 错误数量,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,3. 错误共现,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,4. 参考译文,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,5.稳定性,Unnamed: 46,Unnamed: 47
使用控制变量法：在忠实性、流畅性和语言习惯等三个方面标注错误，其他变量相同，所有错误类型共计标记10个句子,,,,,,,,,使用控制变量法，在忠实性方面标注错误，错误数量分别为5个、3个和0个，三种错误数量各标注10个,,,,,,,,,使用控制变量法，10段文本同时引入忠实性错误、流畅性错误。即在同一段文本上标注不同类型的错误,,,,,,,,,下面的数据是在10段文本上分别标注忠实性和流畅性两类错误，用于与左侧数据进行对比,,,,,,,,,使用控制变量法，下面的10段文本为无参考译文的翻译质量评估，基于忠实性标注,,,,,,,,,同一个句子，分别标注三种不同类型的错误，然后使用GPT评估10次，记录每一个结果并计算频率,,
,Annotated Errors,Errors Detected by GPT,Correct GPT Detections,Precision,Recall,F1,,,,Paragraph Number,Errors Detected by GPT,Correct GPT Detections,Precision,Recall,F1,,,,Paragraph Number,Annotated Errors,Errors Detected by GPT,Correct GPT Detections,Precision,Recall,F1,,,Paragraph Number,Annotated Errors,Errors Detected by GPT,Correct GPT Detections,Precision,Recall,F1,,,Paragraph Number,Annotated Errors,Errors Detected by GPT,Correct GPT Detections,Precision,Recall,F1,,Error Type,Results,Frequency
Fidelity,3,3,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,Error Numbers:5,1,3,3,1,0.6,0.7499999999999999,,,Fidelity,1,3,3,2,1,0.5,0.3333333333333333,,Fidelity,1,3,3,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,,Fidelity,1,3,2,0,0,0,0,,Fidelity,omissions_A; mistranslations_A; mistranslation_B,0.3
,3,2,1,0.5,0.3333333333333333,0.4,,,,2,2,1,0.5,0.2,0.28571428571428575,,,,2,3,2,2,1,0.6666666666666666,0.8,,,2,3,2,1,0.5,0.3333333333333333,0.4,,,2,3,0,0,0,0,0,,,omissions_A; mistranslations_A; ,0.5
,3,3,1.5,0.5,0.5,0.5,,,,3,5,3,0.6,0.6,0.6,,,,3,3,3,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,3,3,3,1.5,0.5,0.5,0.5,,,3,3,5,2.5,0.5,0.8333333333333334,0.625,,,omissions_B; mistranslations_A; ,0.1
,3,2,1,0.5,0.3333333333333333,0.4,,,,4,4,1,0.25,0.2,0.22222222222222224,,,,4,3,2,1,0.5,0.3333333333333333,0.4,,,4,3,2,1,0.5,0.3333333333333333,0.4,,,4,3,2,2,1,0.5,0.6666666666666666,,,omissions_A; mistranslations_B; mistranslations_C; ,0.1
,3,2,1,0.5,0.3333333333333333,0.4,,,,5,3,2,0.6666666666666666,0.4,0.5,,,,5,3,3,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,5,3,2,1,0.5,0.3333333333333333,0.4,,,5,3,2,2,1,0.4,0.5714285714285715,,Fluency,Smoothness; Language Style_A; Over liter transaltion_A,0.2
,3,2,1,0.5,0.3333333333333333,0.4,,,,6,2,2,1,0.4,0.5714285714285715,,,,6,3,3,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,6,3,2,1,0.5,0.3333333333333333,0.4,,,6,3,0,0,0,0,0,,,Smoothness; Language Style_B; Over liter transaltion_A,0.7
,3,3,1.5,0.5,0.5,0.5,,,,7,5,2.5,0.5,0.5,0.5,,,,7,3,2,1,0.5,0.3333333333333333,0.4,,,7,3,3,1.5,0.5,0.5,0.5,,,7,3,0,0,0,0,0,,,Smoothness; Language Style_A; Over liter transaltion_B,0.1
,3,5,2.5,0.5,0.8333333333333334,0.625,,,,8,4,2,0.5,0.4,0.4444444444444445,,,,8,3,2,0,0,0,0,,,8,3,5,2.5,0.5,0.8333333333333334,0.625,,,8,3,2,2,1,0.25,0.4,,Linguistic Convention,Punctuation; Terminology_A,0.9
